File,WaveData20240530_006.csv,
Date/Time,24-05-30/20:34,

Trace,A
1530.590000,2.8270E-003
1530.610000,2.8020E-003
1530.630000,2.8040E-003
1530.650000,2.8210E-003
1530.670000,2.8360E-003
1530.690000,2.8320E-003
1530.710000,2.8070E-003
1530.730000,2.8260E-003
1530.750000,2.8340E-003
1530.770000,2.8090E-003
1530.790000,2.8170E-003
1530.810000,2.8250E-003
1530.830000,2.8270E-003
1530.850000,2.8040E-003
1530.870000,2.8000E-003
1530.890000,2.8100E-003
1530.910000,2.8080E-003
1530.930000,2.7840E-003
1530.950000,2.7950E-003
1530.970000,2.8090E-003
1530.990000,2.8100E-003
1531.010000,2.8040E-003
1531.030000,2.7930E-003
1531.050000,2.8130E-003
1531.070000,2.7880E-003
1531.090000,2.7680E-003
1531.110000,2.7840E-003
1531.130000,2.7930E-003
1531.150000,2.7760E-003
1531.170000,2.7660E-003
1531.190000,2.7800E-003
1531.210000,2.7850E-003
1531.230000,2.7670E-003
1531.250000,2.7470E-003
1531.270000,2.7710E-003
1531.290000,2.7710E-003
1531.310000,2.7450E-003
1531.330000,2.7520E-003
1531.350000,2.7520E-003
1531.370000,2.7390E-003
1531.390000,2.7260E-003
1531.410000,2.7160E-003
1531.430000,2.7320E-003
1531.450000,2.7340E-003
1531.470000,2.7160E-003
1531.490000,2.7200E-003
1531.510000,2.7270E-003
1531.530000,2.7080E-003
1531.550000,2.6910E-003
1531.570000,2.6910E-003
1531.590000,2.6890E-003
1531.610000,2.6720E-003
1531.630000,2.6460E-003
1531.650000,2.6660E-003
1531.670000,2.6640E-003
1531.690000,2.6460E-003
1531.710000,2.6390E-003
1531.730000,2.6440E-003
1531.750000,2.6480E-003
1531.770000,2.6190E-003
1531.790000,2.6050E-003
1531.810000,2.6210E-003
1531.830000,2.6000E-003
1531.850000,2.5860E-003
1531.870000,2.5790E-003
1531.890000,2.5840E-003
1531.910000,2.5740E-003
1531.930000,2.5590E-003
1531.950000,2.5500E-003
1531.970000,2.5680E-003
1531.990000,2.5590E-003
1532.010000,2.5330E-003
1532.030000,2.5380E-003
1532.050000,2.5400E-003
1532.070000,2.5100E-003
1532.090000,2.4970E-003
1532.110000,2.4820E-003
1532.130000,2.4930E-003
1532.150000,2.4750E-003
1532.170000,2.4550E-003
1532.190000,2.4680E-003
1532.210000,2.4690E-003
1532.230000,2.4440E-003
1532.250000,2.4320E-003
1532.270000,2.4210E-003
1532.290000,2.4230E-003
1532.310000,2.4010E-003
1532.330000,2.3770E-003
1532.350000,2.3830E-003
1532.370000,2.3710E-003
1532.390000,2.3390E-003
1532.410000,2.3360E-003
1532.430000,2.3390E-003
1532.450000,2.3330E-003
1532.470000,2.3110E-003
1532.490000,2.3040E-003
1532.510000,2.3110E-003
1532.530000,2.2910E-003
1532.550000,2.2650E-003
1532.570000,2.2620E-003
1532.590000,2.2550E-003
1532.610000,2.2280E-003
1532.630000,2.2180E-003
1532.650000,2.2110E-003
1532.670000,2.2100E-003
1532.690000,2.1940E-003
1532.710000,2.1750E-003
1532.730000,2.1750E-003
1532.750000,2.1730E-003
1532.770000,2.1430E-003
1532.790000,2.1400E-003
1532.810000,2.1330E-003
1532.830000,2.1210E-003
1532.850000,2.0990E-003
1532.870000,2.0800E-003
1532.890000,2.0840E-003
1532.910000,2.0770E-003
1532.930000,2.0430E-003
1532.950000,2.0410E-003
1532.970000,2.0440E-003
1532.990000,2.0220E-003
1533.010000,2.0150E-003
1533.030000,1.9950E-003
1533.050000,2.0000E-003
1533.070000,1.9710E-003
1533.090000,1.9500E-003
1533.110000,1.9470E-003
1533.130000,1.9380E-003
1533.150000,1.9280E-003
1533.170000,1.9140E-003
1533.190000,1.9010E-003
1533.210000,1.8990E-003
1533.230000,1.8820E-003
1533.250000,1.8600E-003
1533.270000,1.8660E-003
1533.290000,1.8520E-003
1533.310000,1.8310E-003
1533.330000,1.8190E-003
1533.350000,1.8140E-003
1533.370000,1.7980E-003
1533.390000,1.7780E-003
1533.410000,1.7720E-003
1533.430000,1.7670E-003
1533.450000,1.7560E-003
1533.470000,1.7380E-003
1533.490000,1.7330E-003
1533.510000,1.7280E-003
1533.530000,1.7020E-003
1533.550000,1.6920E-003
1533.570000,1.6820E-003
1533.590000,1.6700E-003
1533.610000,1.6520E-003
1533.630000,1.6340E-003
1533.650000,1.6340E-003
1533.670000,1.6180E-003
1533.690000,1.6020E-003
1533.710000,1.5990E-003
1533.730000,1.5920E-003
1533.750000,1.5780E-003
1533.770000,1.5610E-003
1533.790000,1.5500E-003
1533.810000,1.5510E-003
1533.830000,1.5370E-003
1533.850000,1.5150E-003
1533.870000,1.5100E-003
1533.890000,1.5010E-003
1533.910000,1.4830E-003
1533.930000,1.4710E-003
1533.950000,1.4600E-003
1533.970000,1.4640E-003
1533.990000,1.4480E-003
1534.010000,1.4290E-003
1534.030000,1.4280E-003
1534.050000,1.4200E-003
1534.070000,1.3980E-003
1534.090000,1.3830E-003
1534.110000,1.3800E-003
1534.130000,1.3670E-003
1534.150000,1.3510E-003
1534.170000,1.3410E-003
1534.190000,1.3390E-003
1534.210000,1.3270E-003
1534.230000,1.3080E-003
1534.250000,1.3080E-003
1534.270000,1.3040E-003
1534.290000,1.2820E-003
1534.310000,1.2760E-003
1534.330000,1.2690E-003
1534.350000,1.2580E-003
1534.370000,1.2440E-003
1534.390000,1.2310E-003
1534.410000,1.2250E-003
1534.430000,1.2210E-003
1534.450000,1.2010E-003
1534.470000,1.1940E-003
1534.490000,1.1940E-003
1534.510000,1.1800E-003
1534.530000,1.1760E-003
1534.550000,1.1590E-003
1534.570000,1.1550E-003
1534.590000,1.1440E-003
1534.610000,1.1300E-003
1534.630000,1.1220E-003
1534.650000,1.1140E-003
1534.670000,1.1040E-003
1534.690000,1.0970E-003
1534.710000,1.0880E-003
1534.730000,1.0860E-003
1534.750000,1.0730E-003
1534.770000,1.0610E-003
