Initial,Final,Wavelength (nm),Wavelength error (nm),Wavelength (nm),Matrix element (a.u.),Matrix el. error (a.u.),Matrix element (a.u.),Reference,DOI,Reference 2,DOI 2
13s1/2,8p1/2,2311.0952,0.0001,2311.0952(1),0.7248791,0.0067556,0.7249(68),,,,
13s1/2,8p3/2,2356.1121,0.0167,2356.11(2),0.9718707,0.0109201,0.972(11),,,,
13s1/2,9p1/2,4168.7655,0.0009,4168.7655(9),1.417153,0.0128056,1.417(13),,,,
13s1/2,9p3/2,4247.8897,0.002,4247.890(2),1.8884974,0.0209552,1.888(21),,,,
13s1/2,10p1/2,7639.5595,0.0031,7639.559(3),3.0182264,0.0262741,3.018(26),,,,
13s1/2,10p3/2,7799.6343,0.0068,7799.634(7),4.0252407,0.0435153,4.025(44),,,,
13s1/2,11p1/2,15813.6469,0.0056,15813.647(6),8.287786,0.0731753,8.288(73),,,,
13s1/2,11p3/2,16261.1065,0.0795,16261.11(8),11.217245,0.109339,11.22(11),,,,
13s1/2,12p1/2,54538.4736,0.0665,54538.47(7),60.045289,0.120298,60.05(12),,,,
13s1/2,12p3/2,58328.322,1.0229,58328(1),89.496926,0.22435,89.50(22),,,,
13s1/2,13p1/2,76994.2077,0.1326,76994.2(1),83.336423,0.184199,83.34(18),,,,
13s1/2,13p3/2,72259.713,1.5699,72260(2),114.15047,0.3298,114.15(33),,,,
13s1/2,14p1/2,28004.6544,0.0175,28004.65(2),8.8384098,0.1409022,8.84(14),,,,
14s1/2,6p1/2,523.0296,0,523.0296,0.1404974,0.0015125,0.1405(15),,,,
14s1/2,6p3/2,538.6382,0,538.6382,0.1953286,0.0023983,0.1953(24),,,,
14s1/2,7p1/2,1172.0173,0.0027,1172.017(3),0.2991624,0.0029107,0.2992(29),,,,
14s1/2,7p3/2,1197.4258,0.0037,1197.426(4),0.4058443,0.0046523,0.4058(47),,,,
14s1/2,8p1/2,2179.2144,0.0001,2179.2144(1),0.5614223,0.0052483,0.5614(52),,,,
14s1/2,8p3/2,2219.1957,0.0148,2219.20(1),0.7513081,0.0084839,0.7513(85),,,,
14s1/2,9p1/2,3758.4822,0.0008,3758.4822(8),1.0174364,0.0092454,1.0174(92),,,,
14s1/2,9p3/2,3822.6783,0.0016,3822.678(2),1.351088,0.0151221,1.351(15),,,,
14s1/2,10p1/2,6366.0499,0.0022,6366.050(2),1.8942192,0.016793,1.894(17),,,,
14s1/2,10p3/2,6476.8173,0.0047,6476.817(5),2.5077401,0.027754,2.508(28),,,,
14s1/2,11p1/2,11182.9054,0.0028,11182.905(3),3.9095425,0.0337382,3.910(34),,,,
14s1/2,11p3/2,11404.835,0.0391,11404.84(4),5.1905833,0.0559473,5.191(56),,,,
14s1/2,12p1/2,22461.1288,0.0113,22461.13(1),10.516672,0.092923,10.517(93),,,,
14s1/2,12p3/2,23078.693,0.1601,23078.7(2),14.193695,0.13779,14.19(14),,,,
14s1/2,13p1/2,75770.8357,0.1284,75770.8(1),75.3045,0.152774,75.30(15),,,,
14s1/2,13p3/2,80993.2363,1.9723,80993(2),112.14064,0.28919,112.14(29),,,,
14s1/2,14p1/2,105012.5648,0.2466,105012.6(2),102.14615,0.21519,102.15(22),,,,
14s1/2,14p3/2,98504.7957,2.9174,98505(3),139.81446,0.39282,139.81(39),,,,
5d3/2,6p1/2,3011.1515,0.0009,3011.1515(9),7.0634865,0.1359779,7.06(14),,,,
5d3/2,6p3/2,3614.0881,0.0013,3614.088(1),3.1872287,0.0681474,3.187(68),,,,
5d3/2,7p1/2,1376.2558,0.0038,1376.256(4),2.2847222,0.4432693,2.28(44),,,,
5d3/2,7p3/2,1342.7973,0.0047,1342.797(5),0.9146687,0.1928229,0.91(19),,,,
5d3/2,8p1/2,892.0942,0.0001,892.0942(1),0.6303709,0.0504091,0.630(50),,,,
5d3/2,8p3/2,885.563,0.0024,885.563(2),0.257478,0.0263016,0.257(26),,,,
5d3/2,9p1/2,761.1659,0.0001,761.1659(1),0.3381601,0.0207689,0.338(21),,,,
5d3/2,9p3/2,758.586,0.0001,758.5860(1),0.1379679,0.0115063,0.138(12),,,,
5d3/2,10p1/2,702.8614,0.0001,702.8614(1),0.2236487,0.0123141,0.224(12),,,,
5d3/2,10p3/2,701.5368,0.0001,701.5368(1),0.0910696,0.0070066,0.0911(70),,,,
5d3/2,11p1/2,670.9533,0,670.9533,0.1639564,0.0085494,0.1640(85),,,,
5d3/2,11p3/2,670.1709,0.0001,670.1709(1),0.0666602,0.0049327,0.0667(49),,,,
5d3/2,12p1/2,651.3311,0,651.3311,0.1277577,0.0064606,0.1278(65),,,,
5d3/2,12p3/2,650.8261,0.0001,650.8261(1),0.0518832,0.0037565,0.0519(38),,,,
5d3/2,13p1/2,638.3083,0,638.3083,0.1036471,0.0051431,0.1036(51),,,,
5d3/2,13p3/2,637.9617,0.0001,637.9617(1),0.0420583,0.0030065,0.0421(30),,,,
5d3/2,14p1/2,629.1835,0,629.1835,0.0865312,0.0042405,0.0865(42),,,,
5d3/2,14p3/2,628.9345,0.0001,628.9345(1),0.0350908,0.002486,0.0351(25),,,,
5d3/2,4f5/2,1002.7103,0.0002,1002.7103(2),7.122291,0.5605845,7.12(56),,,,
5d3/2,5f5/2,801.7931,0.0002,801.7931(2),3.6581399,0.1006076,3.66(10),,,,
5d3/2,6f5/2,723.0524,0.0001,723.0524(1),2.3834233,0.0255161,2.383(26),,,,
5d3/2,7f5/2,682.6533,0,682.6533,1.7340617,0.0112759,1.734(11),,,,
5d3/2,8f5/2,658.7838,0,658.7838,1.34457,0.0118238,1.345(12),,,,
5d3/2,9f5/2,643.3741,0,643.3741,1.0867996,0.0349374,1.087(35),,,,
5d3/2,10f5/2,632.7949,0,632.7949,0.9046107,0.0256671,0.905(26),,,,
5d3/2,11f5/2,625.1942,0,625.1942,0.7696355,0.0197586,0.770(20),,,,
5d3/2,12f5/2,619.5379,0,619.5379,0.6661335,0.0157511,0.666(16),,,,
5d5/2,6p3/2,3490.9677,0.0002,3490.9677(2),9.6585456,0.1849809,9.66(18),,,,
5d5/2,7p3/2,1360.6267,0.0048,1360.627(5),2.8098097,0.5399365,2.81(54),,,,
5d5/2,8p3/2,893.2826,0.0024,893.283(2),0.7955955,0.0732244,0.796(73),,,,
5d5/2,9p3/2,764.2434,0.0001,764.2434(1),0.426726,0.0320451,0.427(32),,,,
5d5/2,10p3/2,706.3726,0.0001,706.3726(1),0.2817853,0.0195347,0.282(20),,,,
5d5/2,11p3/2,674.5826,0.0001,674.5826(1),0.2063032,0.0137659,0.206(14),,,,
5d5/2,12p3/2,654.986,0.0001,654.9860(1),0.1605925,0.0104911,0.161(10),,,,
5d5/2,13p3/2,641.9583,0.0001,641.9583(1),0.1301938,0.0084015,0.1302(84),,,,
5d5/2,14p3/2,632.8184,0.0001,632.8184(1),0.1086327,0.0069497,0.1086(69),,,,
5d5/2,4f5/2,1012.6188,0.0002,1012.6188(2),1.9304861,0.1386852,1.93(14),,,,
5d5/2,4f7/2,1012.6374,0.0002,1012.6374(2),8.6346205,0.620083,8.63(62),,,,
5d5/2,5f5/2,808.116,0.0002,808.1160(2),0.9900362,0.0245114,0.990(25),,,,
5d5/2,5f7/2,808.1258,0.0002,808.1258(2),4.4282445,0.1094826,4.43(11),,,,
5d5/2,6f5/2,728.1905,0,728.1905,0.644329,0.0060079,0.6443(60),,,,
5d5/2,6f7/2,728.1961,0,728.1961,2.8819511,0.0267654,2.882(27),,,,
5d5/2,7f5/2,687.2314,0,687.2314,0.4684582,0.0029139,0.4685(29),,,,
5d5/2,7f7/2,687.2349,0,687.2349,2.0953056,0.0130819,2.095(13),,,,
